User,Rating,Username,Title,URL
GM C9C9C9C9C9,3085,C9C9C9C9C9,GM,https://lichess.org/@/C9C9C9C9C9
GM Zhigalko_Sergei,3085,Zhigalko_Sergei,GM,https://lichess.org/@/Zhigalko_Sergei
GM MrBochwalt,3029,MrBochwalt,GM,https://lichess.org/@/MrBochwalt
IM mutdpro,3017,mutdpro,IM,https://lichess.org/@/mutdpro
TaylorSwiftFans,3002,TaylorSwiftFans,,https://lichess.org/@/TaylorSwiftFans
Shprot86,3001,Shprot86,,https://lichess.org/@/Shprot86
GM muisback,3000,muisback,GM,https://lichess.org/@/muisback
FM Heisenberg01,2997,Heisenberg01,FM,https://lichess.org/@/Heisenberg01
GM Arka50,2993,Arka50,GM,https://lichess.org/@/Arka50
GM nihalsarin2004,2993,nihalsarin2004,GM,https://lichess.org/@/nihalsarin2004
IM Yarebore,2980,Yarebore,IM,https://lichess.org/@/Yarebore
GM hansontwitch,2979,hansontwitch,GM,https://lichess.org/@/hansontwitch
IM MatthewG-p4p,2974,MatthewG-p4p,IM,https://lichess.org/@/MatthewG-p4p
tptagain,2969,tptagain,,https://lichess.org/@/tptagain
GM msb2,2962,msb2,GM,https://lichess.org/@/msb2
Kallepook,2955,Kallepook,,https://lichess.org/@/Kallepook
GM Zaven_ChessMood,2950,Zaven_ChessMood,GM,https://lichess.org/@/Zaven_ChessMood
GM kyart2,2949,kyart2,GM,https://lichess.org/@/kyart2
GM defenceboy1,2945,defenceboy1,GM,https://lichess.org/@/defenceboy1
IM AngelitoRT,2944,AngelitoRT,IM,https://lichess.org/@/AngelitoRT
GM Inventing_Invention,2944,Inventing_Invention,GM,https://lichess.org/@/Inventing_Invention
GM Eyesless18,2939,Eyesless18,GM,https://lichess.org/@/Eyesless18
GM Night-King96,2939,Night-King96,GM,https://lichess.org/@/Night-King96
GM Kingdomino1,2936,Kingdomino1,GM,https://lichess.org/@/Kingdomino1
GM drop_stone,2929,drop_stone,GM,https://lichess.org/@/drop_stone
GM Andrey_Esipenko,2927,Andrey_Esipenko,GM,https://lichess.org/@/Andrey_Esipenko
GM sumsar42,2926,sumsar42,GM,https://lichess.org/@/sumsar42
IM dolar9,2926,dolar9,IM,https://lichess.org/@/dolar9
GM chesswarrior04,2925,chesswarrior04,GM,https://lichess.org/@/chesswarrior04
Crecent,2924,Crecent,,https://lichess.org/@/Crecent
GM AbasovN,2922,AbasovN,GM,https://lichess.org/@/AbasovN
GM Eduiturri,2919,Eduiturri,GM,https://lichess.org/@/Eduiturri
IM Abik02,2918,Abik02,IM,https://lichess.org/@/Abik02
GM NeverEnough,2917,NeverEnough,GM,https://lichess.org/@/NeverEnough
IM Mitrabha,2915,Mitrabha,IM,https://lichess.org/@/Mitrabha
Parakon1,2915,Parakon1,,https://lichess.org/@/Parakon1
GM dmitrij_IM,2904,dmitrij_IM,GM,https://lichess.org/@/dmitrij_IM
ultraking1,2904,ultraking1,,https://lichess.org/@/ultraking1
AgressiveMode,2904,AgressiveMode,,https://lichess.org/@/AgressiveMode
Yottabyte97,2904,Yottabyte97,,https://lichess.org/@/Yottabyte97
GM Kelevra317,2904,Kelevra317,GM,https://lichess.org/@/Kelevra317
FM FlamingFM,2903,FlamingFM,FM,https://lichess.org/@/FlamingFM
IM SaraciNderim,2903,SaraciNderim,IM,https://lichess.org/@/SaraciNderim
GM Grandelicious,2902,Grandelicious,GM,https://lichess.org/@/Grandelicious
whateverworks1,2900,whateverworks1,,https://lichess.org/@/whateverworks1
GM domtichess,2900,domtichess,GM,https://lichess.org/@/domtichess
GM BabaRamdev,2898,BabaRamdev,GM,https://lichess.org/@/BabaRamdev
FM promacherr,2896,promacherr,FM,https://lichess.org/@/promacherr
GM Twelvedigits,2892,Twelvedigits,GM,https://lichess.org/@/Twelvedigits
FM Zhalmakhanov_R,2891,Zhalmakhanov_R,FM,https://lichess.org/@/Zhalmakhanov_R
GM Esssquire,2890,Esssquire,GM,https://lichess.org/@/Esssquire
IM gon_freecs123,2888,gon_freecs123,IM,https://lichess.org/@/gon_freecs123
GM cjota95,2887,cjota95,GM,https://lichess.org/@/cjota95
GM Praggnanandhaachess,2887,Praggnanandhaachess,GM,https://lichess.org/@/Praggnanandhaachess
FM amirsose97,2885,amirsose97,FM,https://lichess.org/@/amirsose97
abyssus,2885,abyssus,,https://lichess.org/@/abyssus
GM vroeli,2883,vroeli,GM,https://lichess.org/@/vroeli
RoadToFM-L,2883,RoadToFM-L,,https://lichess.org/@/RoadToFM-L
Amateur_IM,2882,Amateur_IM,,https://lichess.org/@/Amateur_IM
IM Nikotheo,2881,Nikotheo,IM,https://lichess.org/@/Nikotheo
DevInProd,2880,DevInProd,,https://lichess.org/@/DevInProd
youareagmharry,2879,youareagmharry,,https://lichess.org/@/youareagmharry
IM Kacparov,2878,Kacparov,IM,https://lichess.org/@/Kacparov
IM Khalilmousavii,2876,Khalilmousavii,IM,https://lichess.org/@/Khalilmousavii
GM Riquelme93,2870,Riquelme93,GM,https://lichess.org/@/Riquelme93
GM Leon009,2869,Leon009,GM,https://lichess.org/@/Leon009
GM KAstar,2866,KAstar,GM,https://lichess.org/@/KAstar
tuntematon,2865,tuntematon,,https://lichess.org/@/tuntematon
caissaisabelle,2865,caissaisabelle,,https://lichess.org/@/caissaisabelle
GM Chesser22,2864,Chesser22,GM,https://lichess.org/@/Chesser22
Rikkk17,2863,Rikkk17,,https://lichess.org/@/Rikkk17
GM Amin_____tb,2862,Amin_____tb,GM,https://lichess.org/@/Amin_____tb
KarlBallmer,2861,KarlBallmer,,https://lichess.org/@/KarlBallmer
GM VincentKeymer2004,2861,VincentKeymer2004,GM,https://lichess.org/@/VincentKeymer2004
IM Frontier96,2860,Frontier96,IM,https://lichess.org/@/Frontier96
IM shrekdavid,2859,shrekdavid,IM,https://lichess.org/@/shrekdavid
GM Chesstoday,2859,Chesstoday,GM,https://lichess.org/@/Chesstoday
Ragadingdong,2858,Ragadingdong,,https://lichess.org/@/Ragadingdong
FM etopak,2858,etopak,FM,https://lichess.org/@/etopak
GM hitter1999,2856,hitter1999,GM,https://lichess.org/@/hitter1999
GM iamstraw,2855,iamstraw,GM,https://lichess.org/@/iamstraw
rosagasa,2854,rosagasa,,https://lichess.org/@/rosagasa
FM IgorKowalski,2854,IgorKowalski,FM,https://lichess.org/@/IgorKowalski
GM Macrofago,2853,Macrofago,GM,https://lichess.org/@/Macrofago
Miawlet,2846,Miawlet,,https://lichess.org/@/Miawlet
GM DarthMccartney,2844,DarthMccartney,GM,https://lichess.org/@/DarthMccartney
IM gsvc,2844,gsvc,IM,https://lichess.org/@/gsvc
NM Jasugi99,2841,Jasugi99,NM,https://lichess.org/@/Jasugi99
GM danza-kuduro-bros,2841,danza-kuduro-bros,GM,https://lichess.org/@/danza-kuduro-bros
GM Poudini,2841,Poudini,GM,https://lichess.org/@/Poudini
AFunder,2840,AFunder,,https://lichess.org/@/AFunder
IM LANCELOT_06,2838,LANCELOT_06,IM,https://lichess.org/@/LANCELOT_06
Restrano,2837,Restrano,,https://lichess.org/@/Restrano
IM Aronyak1,2837,Aronyak1,IM,https://lichess.org/@/Aronyak1
GM BIZOO,2836,BIZOO,GM,https://lichess.org/@/BIZOO
IM THEFRANKENSTEIN,2835,THEFRANKENSTEIN,IM,https://lichess.org/@/THEFRANKENSTEIN
FM maybe_maybe,2834,maybe_maybe,FM,https://lichess.org/@/maybe_maybe
Ilia_Jude,2833,Ilia_Jude,,https://lichess.org/@/Ilia_Jude
GM maciek_92,2833,maciek_92,GM,https://lichess.org/@/maciek_92
GM Multibrendovyi,2832,Multibrendovyi,GM,https://lichess.org/@/Multibrendovyi
IM AndrewHoma,2831,AndrewHoma,IM,https://lichess.org/@/AndrewHoma
badbadger95,2830,badbadger95,,https://lichess.org/@/badbadger95
suhaing,2830,suhaing,,https://lichess.org/@/suhaing
Kurottsuchi,2828,Kurottsuchi,,https://lichess.org/@/Kurottsuchi
GM MinhJTran,2828,MinhJTran,GM,https://lichess.org/@/MinhJTran
KreuzritterImZoo,2827,KreuzritterImZoo,,https://lichess.org/@/KreuzritterImZoo
foreverlovechess,2827,foreverlovechess,,https://lichess.org/@/foreverlovechess
GM Banjovi,2826,Banjovi,GM,https://lichess.org/@/Banjovi
IM swimmerchess,2826,swimmerchess,IM,https://lichess.org/@/swimmerchess
GM deacbogdan1,2826,deacbogdan1,GM,https://lichess.org/@/deacbogdan1
NM JurgenSanchez97,2825,JurgenSanchez97,NM,https://lichess.org/@/JurgenSanchez97
Arteler,2825,Arteler,,https://lichess.org/@/Arteler
IM TenzaSangetsu,2824,TenzaSangetsu,IM,https://lichess.org/@/TenzaSangetsu
IM Batsuren_Dambasuren,2824,Batsuren_Dambasuren,IM,https://lichess.org/@/Batsuren_Dambasuren
Kidefence,2824,Kidefence,,https://lichess.org/@/Kidefence
FM condansator3,2823,condansator3,FM,https://lichess.org/@/condansator3
IM toivok3,2823,toivok3,IM,https://lichess.org/@/toivok3
GM S2Pac,2822,S2Pac,GM,https://lichess.org/@/S2Pac
IM Sergoy45,2821,Sergoy45,IM,https://lichess.org/@/Sergoy45
edgelorde,2819,edgelorde,,https://lichess.org/@/edgelorde
GM Gogithewise,2819,Gogithewise,GM,https://lichess.org/@/Gogithewise
JSammour,2819,JSammour,,https://lichess.org/@/JSammour
SpaceCrystalis,2819,SpaceCrystalis,,https://lichess.org/@/SpaceCrystalis
GM MasterAssasin123,2818,MasterAssasin123,GM,https://lichess.org/@/MasterAssasin123
IM greennight,2818,greennight,IM,https://lichess.org/@/greennight
Luci123456,2818,Luci123456,,https://lichess.org/@/Luci123456
GM MikeGScarn,2818,MikeGScarn,GM,https://lichess.org/@/MikeGScarn
Reshetkov_Kirill,2817,Reshetkov_Kirill,,https://lichess.org/@/Reshetkov_Kirill
GM Fighterman91,2817,Fighterman91,GM,https://lichess.org/@/Fighterman91
IM sillyMASTER,2816,sillyMASTER,IM,https://lichess.org/@/sillyMASTER
GM ficorrales,2815,ficorrales,GM,https://lichess.org/@/ficorrales
curtainsjr,2814,curtainsjr,,https://lichess.org/@/curtainsjr
IM DanielDardha2005,2814,DanielDardha2005,IM,https://lichess.org/@/DanielDardha2005
GM CEMILGMCHESS,2813,CEMILGMCHESS,GM,https://lichess.org/@/CEMILGMCHESS
GM IVK88,2812,IVK88,GM,https://lichess.org/@/IVK88
IM sopueyz,2812,sopueyz,IM,https://lichess.org/@/sopueyz
chessm3g1c,2811,chessm3g1c,,https://lichess.org/@/chessm3g1c
galaxyopal,2810,galaxyopal,,https://lichess.org/@/galaxyopal
chessmaster2006,2810,chessmaster2006,,https://lichess.org/@/chessmaster2006
LM PeshkaCh,2809,PeshkaCh,LM,https://lichess.org/@/PeshkaCh
Dagda7,2809,Dagda7,,https://lichess.org/@/Dagda7
FM fmshawnrl123,2809,fmshawnrl123,FM,https://lichess.org/@/fmshawnrl123
GM tinymonster,2809,tinymonster,GM,https://lichess.org/@/tinymonster
GM Hovik7,2809,Hovik7,GM,https://lichess.org/@/Hovik7
Mrdalica,2809,Mrdalica,,https://lichess.org/@/Mrdalica
dr_XXL,2808,dr_XXL,,https://lichess.org/@/dr_XXL
ath441,2808,ath441,,https://lichess.org/@/ath441
GM GMVallejo,2808,GMVallejo,GM,https://lichess.org/@/GMVallejo
FM OhanyanEminChess,2807,OhanyanEminChess,FM,https://lichess.org/@/OhanyanEminChess
Vetranio,2807,Vetranio,,https://lichess.org/@/Vetranio
GM Zkid,2807,Zkid,GM,https://lichess.org/@/Zkid
SahmaTV,2807,SahmaTV,,https://lichess.org/@/SahmaTV
IM Minoli,2807,Minoli,IM,https://lichess.org/@/Minoli
Bardiya___Daneshvar,2806,Bardiya___Daneshvar,,https://lichess.org/@/Bardiya___Daneshvar
GM bacchu90,2806,bacchu90,GM,https://lichess.org/@/bacchu90
Mr_Berzerk0,2806,Mr_Berzerk0,,https://lichess.org/@/Mr_Berzerk0
Shnr,2806,Shnr,,https://lichess.org/@/Shnr
Chess_Is_Life23,2805,Chess_Is_Life23,,https://lichess.org/@/Chess_Is_Life23
Gnojnyj,2804,Gnojnyj,,https://lichess.org/@/Gnojnyj
FM okchess1,2803,okchess1,FM,https://lichess.org/@/okchess1
Quparadze,2802,Quparadze,,https://lichess.org/@/Quparadze
bkdcatur,2802,bkdcatur,,https://lichess.org/@/bkdcatur
TryOnBrother,2802,TryOnBrother,,https://lichess.org/@/TryOnBrother
GonzaQuirhuayo_UNMSM,2802,GonzaQuirhuayo_UNMSM,,https://lichess.org/@/GonzaQuirhuayo_UNMSM
FM Artem_0degov,2802,Artem_0degov,FM,https://lichess.org/@/Artem_0degov
IM vangulio,2801,vangulio,IM,https://lichess.org/@/vangulio
Clark_Kent97,2801,Clark_Kent97,,https://lichess.org/@/Clark_Kent97
IM Zubrrr,2801,Zubrrr,IM,https://lichess.org/@/Zubrrr
ChrisSantiago_UNMSM,2801,ChrisSantiago_UNMSM,,https://lichess.org/@/ChrisSantiago_UNMSM
IM Artur0208,2800,Artur0208,IM,https://lichess.org/@/Artur0208
IM Didici12,2800,Didici12,IM,https://lichess.org/@/Didici12
GM zonrobla,2800,zonrobla,GM,https://lichess.org/@/zonrobla
palamuberibu,2800,palamuberibu,,https://lichess.org/@/palamuberibu
ChessClock99,2800,ChessClock99,,https://lichess.org/@/ChessClock99
GM cicergross,2800,cicergross,GM,https://lichess.org/@/cicergross
FM fairchess03,2800,fairchess03,FM,https://lichess.org/@/fairchess03
FM abrito99,2800,abrito99,FM,https://lichess.org/@/abrito99
iplayfortnite,2800,iplayfortnite,,https://lichess.org/@/iplayfortnite
FM KAPUTVSEMU,2800,KAPUTVSEMU,FM,https://lichess.org/@/KAPUTVSEMU
FM BoardDemon,2800,BoardDemon,FM,https://lichess.org/@/BoardDemon
CristianoRonaldo96,2799,CristianoRonaldo96,,https://lichess.org/@/CristianoRonaldo96
GM promove2500,2798,promove2500,GM,https://lichess.org/@/promove2500
FM Blazinq,2797,Blazinq,FM,https://lichess.org/@/Blazinq
Panic_Time,2796,Panic_Time,,https://lichess.org/@/Panic_Time
pablosoto28,2796,pablosoto28,,https://lichess.org/@/pablosoto28
FM Kaldas90,2794,Kaldas90,FM,https://lichess.org/@/Kaldas90
IM DrMelekess,2790,DrMelekess,IM,https://lichess.org/@/DrMelekess
Jaysik,2790,Jaysik,,https://lichess.org/@/Jaysik
IM TomasSosa,2789,TomasSosa,IM,https://lichess.org/@/TomasSosa
GM Matlakov,2789,Matlakov,GM,https://lichess.org/@/Matlakov
Mbenz,2788,Mbenz,,https://lichess.org/@/Mbenz
GM Rain_Man,2788,Rain_Man,GM,https://lichess.org/@/Rain_Man
Chesskrr,2788,Chesskrr,,https://lichess.org/@/Chesskrr
FM BlackBoarder,2788,BlackBoarder,FM,https://lichess.org/@/BlackBoarder
Hausigel,2787,Hausigel,,https://lichess.org/@/Hausigel
Amirmohammad_Azadi,2786,Amirmohammad_Azadi,,https://lichess.org/@/Amirmohammad_Azadi
IM yoseph2013,2786,yoseph2013,IM,https://lichess.org/@/yoseph2013
GM Tilicheev_Viacheslav,2786,Tilicheev_Viacheslav,GM,https://lichess.org/@/Tilicheev_Viacheslav
GM Tayka,2785,Tayka,GM,https://lichess.org/@/Tayka
IM Sankalp_Gupta,2785,Sankalp_Gupta,IM,https://lichess.org/@/Sankalp_Gupta
